gene	tier	string_score	source	rationale
BUB1B	0	0.0	curated	the mutated gene; BubR1, MCC component and CDC20 inhibitor
BUB1	1	0.999	curated+STRING	MCC; kinetochore kinase, recruits BubR1
BUB3	1	0.999	curated+STRING	MCC; scaffolds BUB1/BUB1B at kinetochores
CDC20	1	0.999	curated+STRING	the direct target of MCC inhibition; APC/C activator
MAD2L1	1	0.999	curated+STRING	MCC; co-inhibitor of CDC20 with BubR1
KNL1	1	0.997	curated+STRING	kinetochore scaffold recruiting BUB1/BUB3
MAD1L1	1	0.0	curated	MAD2 template at unattached kinetochores
ANAPC1	2	0.999	curated+STRING	APC/C subunit
ANAPC10	2	0.999	curated+STRING	APC/C subunit
ANAPC2	2	0.999	curated+STRING	APC/C subunit
ANAPC4	2	0.999	curated+STRING	APC/C subunit
ANAPC7	2	0.999	curated+STRING	APC/C subunit
CCNB1	2	0.999	curated+STRING	cyclin B1, CDK1 partner, APC/C substrate
CDC16	2	0.999	curated+STRING	APC/C subunit
CDC23	2	0.999	curated+STRING	APC/C subunit
CDC26	2	0.999	curated+STRING	APC/C subunit
CDC27	2	0.999	curated+STRING	APC/C subunit
CDK1	2	0.999	curated+STRING	master mitotic kinase driving entry into mitosis
FZR1	2	0.998	curated+STRING	Cdh1; the G1 APC/C activator (not the anaphase one)
CENPE	2	0.989	curated+STRING	kinetochore motor; BubR1-associated
PLK1	2	0.967	curated+STRING	mitotic kinase, kinetochore-microtubule attachment
AURKB	2	0.953	curated+STRING	corrects erroneous attachments; checkpoint kinase
PPP2R5A	2	0.902	curated+STRING	PP2A-B56; recruited by the BubR1 KARD motif
ANAPC11	2	0.0	curated	APC/C subunit
ESPL1	2	0.0	curated	separase; executes sister chromatid separation
PPP2CA	2	0.0	curated	PP2A catalytic; opposes Aurora B at kinetochores
PTTG1	2	0.0	curated	securin; inhibits separase until anaphase
TTK	2	0.0	curated	MPS1 kinase, apex of checkpoint signalling
UBE2C	2	0.0	curated	APC/C E2 enzyme
ANAPC13	3	0.999	STRING-physical	physical STRING interactor of BUB1B
ANAPC15	3	0.999	STRING-physical	physical STRING interactor of BUB1B
ANAPC5	3	0.999	STRING-physical	physical STRING interactor of BUB1B
SKA1	3	0.999	STRING-physical	physical STRING interactor of BUB1B
SKA2	3	0.999	STRING-physical	physical STRING interactor of BUB1B
SKA3	3	0.999	STRING-physical	physical STRING interactor of BUB1B
ANAPC16	3	0.998	STRING-physical	physical STRING interactor of BUB1B
CENPF	3	0.972	STRING-physical	physical STRING interactor of BUB1B
BOD1	3	0.9	STRING-physical	physical STRING interactor of BUB1B
SPDL1	3	0.9	STRING-physical	physical STRING interactor of BUB1B
EIF4A3	4	0.0	variant-class	exon junction complex; marks the PTC as premature
ETF1	4	0.0	variant-class	eRF1; recognises the stop codon - the direct target of readthrough
GSPT1	4	0.0	variant-class	eRF3a; termination GTPase, target of molecular-glue degraders
GSPT2	4	0.0	variant-class	eRF3b paralogue
RPL3	4	0.0	variant-class	large ribosomal subunit; readthrough modulation
RPS15	4	0.0	variant-class	small subunit near the decoding site
SMG1	4	0.0	variant-class	NMD kinase, phosphorylates UPF1
SMG5	4	0.0	variant-class	NMD; UPF1 dephosphorylation
SMG6	4	0.0	variant-class	NMD endonuclease
SMG7	4	0.0	variant-class	NMD; recruits deadenylation machinery
UPF1	4	0.0	variant-class	NMD helicase; degrades the PTC transcript that readthrough needs
UPF2	4	0.0	variant-class	NMD core factor
UPF3B	4	0.0	variant-class	NMD core factor
