gene	tier	drug	drug_id	approved	score	interaction_type	directionality	n_sources	n_publications	sources
BUB1	1	BAY-320	iuphar.ligand:9126	False	8.821998248880455	inhibitor	INHIBITORY	1	0	GuideToPharmacology
BUB1	1	BAY-524	iuphar.ligand:9127	False	8.821998248880455	inhibitor	INHIBITORY	1	0	GuideToPharmacology
BUB1	1	COMPOUND 2-1-1 [PMID: 24900824]	iuphar.ligand:8109	False	8.821998248880455	inhibitor	INHIBITORY	1	0	GuideToPharmacology
BUB1	1	COMPOUND 2-13-1 [PMID: 24900824]	iuphar.ligand:8112	False	8.821998248880455	inhibitor	INHIBITORY	1	0	GuideToPharmacology
BUB1	1	COMPOUND 2-3-1 [PMID: 24900824]	iuphar.ligand:8111	False	8.821998248880455	inhibitor	INHIBITORY	1	0	GuideToPharmacology
BUB1	1	COMPOUND 2-3-2 [PMID: 24900824]	iuphar.ligand:8110	False	8.821998248880455	inhibitor	INHIBITORY	1	0	GuideToPharmacology
MAD1L1	1	CARBOPLATIN	rxcui:40048	True	0.6014998806054855			1	1	PharmGKB
MAD1L1	1	PACLITAXEL PROTEIN-BOUND	rxcui:486610	True	0.4524101666092541			1	1	PharmGKB
CENPE	2	GSK-923295	drugbank:DB06097	False	52.93198949328273	inhibitor	INHIBITORY	1	0	TALC
PPP2CA	2	MICROCYSTIN-LR	iuphar.ligand:4735	False	4.410999124440227	inhibitor	INHIBITORY	1	0	GuideToPharmacology
PTTG1	2	ETANERCEPT	rxcui:214555	True	3.528799299552182			1	1	PharmGKB
TTK	2	AZ3146	iuphar.ligand:9400	False	3.528799299552181	inhibitor	INHIBITORY	1	0	GuideToPharmacology
TTK	2	BAY-1161909	chembl:CHEMBL4303241	False	3.528799299552181	inhibitor	INHIBITORY	1	0	ChEMBL
TTK	2	BAY1217389	iuphar.ligand:12705	False	3.528799299552181	inhibitor,inhibitor	INHIBITORY,INHIBITORY	2	0	ChEMBL;GuideToPharmacology
