run	compound	pert_id	score	cell_id	dose	dose_unit	pubchem_id	compound_class
A375	Urapidil hydrochloride	BRD-K73196317	0.0167	MCF7	10.0	um	5639	unclassified
A375	dasatinib	BRD-K49328571	0.0167	HCC515	0.12	um	3062316	other kinase inhibitor
A375	AS-605240	BRD-K41895714	0.0167	HME1	0.12	um	10377751	other kinase inhibitor
A375	Bay 11-7821	BRD-K15025317	0.0134	PC3	10.0	um	5353431	NF-kB / innate immune inhibitor
A375	AS605240	BRD-K41895714	0.0134	RKO	10.0	um	10377751	other kinase inhibitor
A375	2-[(chloroacetyl)(4-methoxyphenyl)amino]-N-(2-phenylethyl)-2-thien-2-ylacetamide	BRD-A72180425	0.0134	VCAP	10.0	um	3689416	unclassified
A375	vinorelbine	BRD-K97514127	0.0134	VCAP	10.0	um	13200033	antimitotic / tubulin
A375	S1362	BRD-K35687265	0.0134	VCAP	10.0	um	73707390	unclassified
A375	Sulfaquinoxaline sodium salt	BRD-K71133585	0.0134	PC3	10.0	um	5338	unclassified
A375	pelitinib	BRD-K08799216	0.0134	SKBR3	10	um	6445562	unclassified
A375	linifanib	BRD-K99749624	0.0134	HME1	1.11	um	11485656	other kinase inhibitor
A375	selumetinib	BRD-K57080016	0.0134	HME1	10	um	10127622	other kinase inhibitor
A375	CGP-60474	BRD-K79090631	0.0134	HME1	3.33	um	644215	mitotic / CDK kinase inhibitor
A375	AZD-7762	BRD-K46056750	0.0134	HME1	3.33	um	67077825	mitotic / CDK kinase inhibitor
A375	selumetinib	BRD-K57080016	0.0134	HME1	3.33	um	10127622	other kinase inhibitor
A375	CGP-60474	BRD-K79090631	0.0134	MCF7	0.37	um	644215	mitotic / CDK kinase inhibitor
A375	CGP 71683 hydrochloride	BRD-K31912990	0.01	HA1E	10.0	um	5312114	unclassified
A375	RS 39604 hydrochloride	BRD-K20742498	0.01	HA1E	10.0	um	5145950	unclassified
A375	TESTOSTERONE	BRD-A55393291	0.01	VCAP	10.0	um	5701998	unclassified
A375	QUINACRINE HYDROCHLORIDE	BRD-A45889380	0.01	HT29	10.0	um	23581813	unclassified
A375	vorinostat	BRD-K81418486	0.01	HT29	10.0	um	5311	HDAC inhibitor
A375	HKI-272	BRD-K85606544	0.01	COV644	10.0	um	9915743	other kinase inhibitor
A375	Parthenolide	BRD-K81651477	0.01	H1299	20.0	um	5420804	NF-kB / innate immune inhibitor
A375	Lonidamine	BRD-K78513633	0.01	HT29	177.6	um	39562	unclassified
A375	ZM 336372	BRD-K73789395	0.01	HT29	102.71	um	5730	unclassified
A375	528116.cdx	BRD-K49371609	0.01	MCF7	0.09	um	10275789	unclassified
A375	VX-680	BRD-K87947369	0.01	MDST8	10.0	um	5494449	mitotic / CDK kinase inhibitor
A375	Narciclasine	BRD-K06792661	0.01	NCIH1836	10.0	um	72376	protein synthesis inhibitor
A375	SID 26681509	BRD-K08417745	0.01	NCIH1836	88.8	um	44456237	unclassified
A375	chaetocin	BRD-A85860691	0.01	PC3	0.08	um	161591	unclassified
A375	16beta-Bromoandrosterone	BRD-K98404142	0.01	PC3	11.1	um	16219061	unclassified
A375	PROSTAGLANDIN A1	BRD-K04010869	0.01	RKO	1.0	um	5281912	unclassified
A375	vorinostat	BRD-K81418486	0.01	RKO	11.1000003815	um	5311	HDAC inhibitor
A375	CYT997	BRD-K23363278	0.01	VCAP	1.0	um	11351021	antimitotic / tubulin
A375	NCGC00183255-01	BRD-K26767475	0.01	HT29	10.0	um	44142043	unclassified
A375	geldanamycin	BRD-A19500257	0.01	PC3	10.0	um	13017911	HSP90 inhibitor
A375	VU0365114-2	BRD-K37456065	0.01	HT29	10.0	um	45281794	unclassified
A375	TL_HRAS24 BRD-K93060291	BRD-K93060291	0.01	VCAP	10.0	um	49766518	unclassified
A375	geldanamycin	BRD-A19500257	0.01	VCAP	10.0	um	13017911	HSP90 inhibitor
A375	vincristine	BRD-K82109576	0.01	HT29	10.0	um	5388992	antimitotic / tubulin
A549	AT-7519	BRD-K13390322	0.0301	MDAMB231	3.33	um	11338033	mitotic / CDK kinase inhibitor
A549	DOXORUBICIN	BRD-A52530684	0.0268	HA1E	10.0	um	6916127	topoisomerase / DNA damage
A549	triptolide	BRD-K39484304	0.0268	PC3	10.0	um	107985	protein synthesis inhibitor
A549	230752	BRD-A11702965	0.0268	MCF7	10.0	um	73707419	unclassified
A549	DOXORUBICIN	BRD-A52530684	0.0234	HCC515	10.0	um	6916127	topoisomerase / DNA damage
A549	DAUNORUBICIN	BRD-K43389675	0.0234	PC3	10.0	um	30323	topoisomerase / DNA damage
A549	16-HYDROXYTRIPTOLIDE	BRD-A13122391	0.0234	HA1E	0.08	um	16220015	protein synthesis inhibitor
A549	H7270	BRD-A39646320	0.0234	MCF7	10.0	um	3571	unclassified
A549	alvocidib	BRD-K87909389	0.0234	HME1	0.12	um	5287969	unclassified
A549	linifanib	BRD-K99749624	0.0234	HME1	10	um	11485656	other kinase inhibitor
A549	CGP-60474	BRD-K79090631	0.0234	LNCAP	0.12	um	644215	mitotic / CDK kinase inhibitor
A549	alvocidib	BRD-K87909389	0.0234	MDAMB231	10	um	5287969	unclassified
A549	ER 27319 maleate	BRD-K11927976	0.0201	HCC515	10.0	um	9799509	unclassified
A549	EPIRUBICIN HYDROCHLORIDE	BRD-K04548931	0.0201	PC3	10.0	um	65348	topoisomerase / DNA damage
A549	528116.cdx	BRD-K49371609	0.0201	HA1E	0.09	um	10275789	unclassified
A549	vorinostat	BRD-K81418486	0.0201	HA1E	10.0	um	5311	HDAC inhibitor
A549	vorinostat	BRD-K81418486	0.0201	HEPG2	11.1	um	5311	HDAC inhibitor
A549	16-HYDROXYTRIPTOLIDE	BRD-A13122391	0.0201	MCF7	0.08	um	16220015	protein synthesis inhibitor
A549	AS605240	BRD-K41895714	0.0201	RKO	10.0	um	10377751	other kinase inhibitor
A549	dactinomycin	BRD-K70578146	0.0201	HT29	10.0	um	457193	topoisomerase / DNA damage
A549	triptolide	BRD-K39484304	0.0201	HT29	10.0	um	107985	protein synthesis inhibitor
A549	epirubicin	BRD-K04548931	0.0201	PC3	10.0	um	65348	topoisomerase / DNA damage
A549	F3055	BRD-K87909389	0.0201	MCF7	10.0	um	5287969	unclassified
A549	trichostatin A	BRD-A19037878	0.0201	NEU	10.0	um	6376322	HDAC inhibitor
A549	S1216	BRD-K17210248	0.0201	HEPG2	10.0	um	46931007	unclassified
A549	HY-10005	BRD-K87909389	0.0201	HEPG2	10.0	um	5287969	unclassified
A549	HY-10005	BRD-K87909389	0.0201	MCF7	10.0	um	5287969	unclassified
A549	230752	BRD-A11702965	0.0201	HA1E	10.0	um	73707419	unclassified
A549	vorinostat	BRD-K81418486	0.0201	MCF7	10.0	um	5311	HDAC inhibitor
A549	P8624	BRD-K83794624	0.0201	MCF7	10.0	um	11296583	unclassified
A549	S1205	BRD-M16762496	0.0201	MCF7	10.0	um	73707389	unclassified
A549	trichostatin A	BRD-A19037878	0.0201	A375	10.0	um	6376322	HDAC inhibitor
A549	CGP-60474	BRD-K79090631	0.0201	HS578T	1.11	um	644215	mitotic / CDK kinase inhibitor
A549	WZ-3105	BRD-K92571446	0.0201	HS578T	10	um	42628507	unclassified
A549	QL-X-138	BRD-K72636697	0.0201	HA1E	10	um	73707530	unclassified
A549	CGP-60474	BRD-K79090631	0.0201	HME1	3.33	um	644215	mitotic / CDK kinase inhibitor
A549	CGP-60474	BRD-K79090631	0.0201	HME1	0.04	um	644215	mitotic / CDK kinase inhibitor
A549	A443654	BRD-K88573743	0.0201	HME1	1.11	um		unclassified
A549	BMS-387032	BRD-K43389698	0.0201	HS578T	10	um	3025986	mitotic / CDK kinase inhibitor
A549	alvocidib	BRD-K87909389	0.0201	HS578T	0.12	um	5287969	unclassified
A549	alvocidib	BRD-K87909389	0.0201	HS578T	0.37	um	5287969	unclassified
A549	BMS-387032	BRD-K43389698	0.0201	HS578T	0.37	um	3025986	mitotic / CDK kinase inhibitor
A549	JNK-9L	BRD-K19220233	0.0201	MCF10A	10	um	59588070	other kinase inhibitor
A549	BMS-387032	BRD-K43389698	0.0201	MCF10A	1.11	um	3025986	mitotic / CDK kinase inhibitor
A549	BMS-387032	BRD-K43389698	0.0201	MCF10A	10	um	3025986	mitotic / CDK kinase inhibitor
A549	AZD-5438	BRD-K72414522	0.0201	MCF10A	10	um	16747683	mitotic / CDK kinase inhibitor
HA1E	vincristine	BRD-K82109576	0.0133	PC3	10.0	um	5388992	antimitotic / tubulin
